,id,registration_date,age,gender,country,city,language,main_activity,hobbies,purpose,education,workplace,achievements,bio,rating
0,1,2023-09-07,27,0,Russia,Москва,Spanish,Sports,"Chess, Data Science, Astronomy",Project,No info,"Ball, Morris and Cortez",Foreign many risk player action program alone.,"Story where reason half seven little. Market dog marriage beyond serious force.
Style yeah week back rich make image win. Gun majority art learn deal. Benefit put off keep up as different.",120
1,2,2022-01-27,22,1,Russia,Казань,French,Literature,"Painting, Marketing, UX/UI",Co-founders,No info,Martin-Jackson,Forget back popular Congress size join.,Image visit floor determine message whatever. Suddenly political candidate often friend identify significant. Along different discover think successful figure eye physical.,109
2,3,2021-11-03,40,1,Russia,Казань,German,Programming,"Data Science, Chess, Photography",Project,No info,"Cook, Manning and Barry",Policy speak certain audience television.,Month goal can family. Place spend individual year that trip. Student toward natural effect organization become five. Several reveal discuss beautiful help measure.,111
3,4,2021-06-27,18,1,Russia,Москва,German,Design,"Python, Marketing, UX/UI",Project,No info,Rodriguez Inc,Onto senior into help style TV white.,"Expect beat bad member oil edge. Subject woman box economic.
Would within seat I bed share yet. Develop American authority health reduce work political.",122
4,5,2021-08-11,28,0,Russia,Краснодар,English,Gaming,"Wine tasting, UX/UI, Astronomy",Friends,No info,Garcia-Sanders,Look tell appear social process.,"All white dark evening create. New nature throughout cut.
Indicate lead strategy network white data. Bank or late suffer including national sit.",147
5,6,2022-02-23,30,0,Russia,Москва,English,Gaming,"Python, Marketing, UX/UI",Study help,No info,Sanders and Sons,Pressure upon baby mother myself administration.,"Let space pay. Republican consider wait world.
Reflect window computer garden open night edge. These national well hotel anyone.
Cell step politics military.",111
6,7,2020-02-07,22,1,Russia,Санк-Петербург,Russian,Programming,"Astronomy, Chess, Data Science",Research,No info,Sanders Group,Scene everyone outside expect hope natural specific cold.,Edge build whether couple office miss. General maybe bad analysis development class baby. Far office course break.,192
7,8,2021-03-13,37,1,Russia,Москва,Spanish,Science,"Data Science, UX/UI, Painting",Friends,No info,Gilmore-Solomon,Left miss state hair everything.,"Three key else tax. Father stay issue probably four.
Opportunity political small thousand difficult.
Lose Mr industry partner. Relationship knowledge economy real strong drug.",191
8,9,2024-08-25,20,0,Russia,Краснодар,French,Sports,"Painting, Chess, UX/UI",Co-founders,No info,"Gonzalez, Greene and Jimenez",Chance once power even shoulder write reveal both.,"Amount put cell. Talk exist one tree reason thing hospital serve.
Reveal truth service. Action everybody defense floor science these fact arm.",106
9,10,2021-12-16,29,0,Russia,Краснодар,Russian,Science,"Python, Photography, Marketing",Study help,No info,Baxter-Mcdonald,Television under and receive common already ahead.,"Police his night knowledge use only. Letter question recently add hotel listen.
Example training admit scene. Energy commercial television south front image. Employee pass discover road.",93
10,11,2023-01-13,28,0,Russia,Казань,French,Gaming,"Python, Data Science, UX/UI",Project,No info,"Perez, Nelson and Mason",Wonder decade site option.,No road stay beautiful case deep begin. View position listen hand yard. Study later election both mouth beat.,191
11,12,2023-05-05,19,0,Russia,Санк-Петербург,German,Music,"Astronomy, Chess, Photography",Co-founders,No info,Brandt-Hancock,Most term however option.,Treatment turn professional local each. Teacher administration whether necessary check.,196
12,13,2022-08-03,28,1,Russia,Санк-Петербург,Russian,Programming,"Astronomy, Python, Marketing",Co-founders,No info,"Bartlett, Evans and Hart",Measure shake by step tax.,"Ball talk customer list watch. Seat father appear but current.
Hard create matter I feel his. Network group skill tough ahead reduce. Receive yes matter cover soon war.",133
13,14,2025-02-23,36,1,Russia,Казань,French,Science,"Chess, Photography, Marketing",Project,No info,Chan-Ross,According per space report hotel suffer.,"Score property save me. Write nature approach.
Argue him line wall relationship. Pick health political only much.
Employee stay east apply name as piece do. Safe send attention amount sort range.",199
14,15,2021-04-17,23,1,Russia,Санк-Петербург,French,Gaming,"UX/UI, Python, Photography",Study help,No info,Williams Group,She gun view charge.,"Quickly deal here human soon. Daughter buy past including.
Treatment similar official interesting. Level president large room detail official. Country series deep treat draw doctor run.",94
15,16,2024-11-06,36,1,Russia,Краснодар,Spanish,Music,"UX/UI, Data Science, Marketing",Project,No info,Rodriguez and Sons,Test begin beautiful full thus reduce already.,"Rate treatment pass whose. Bag little total.
Table protect that alone. Rest none economy who doctor purpose.",102
16,17,2024-07-05,33,1,Russia,Казань,Spanish,Literature,"Astronomy, Chess, UX/UI",Study help,No info,"Kelley, Knight and Mills",Check short my bring arrive site business.,"Deep reduce at space or. Popular note build relationship take. Summer else expert over range.
Difficult ever community since. Recognize live boy series.",143
17,18,2023-06-04,39,0,Russia,Казань,German,Gaming,"Python, Data Science, Painting",Friends,No info,Sweeney-Knox,Call behind challenge region fund thing whether.,Significant attack institution western bag suffer like. Section compare language so.,163
18,19,2021-08-29,39,0,Russia,Санк-Петербург,French,Design,"Data Science, Photography, Wine tasting",Research,No info,"Robinson, Dalton and Jones",Prevent manager purpose turn.,"Early keep create fall account cost close stock. Leader alone focus join.
Whether night kid look late.
Even provide pressure whom.
Carry there town skill cover where husband.",172
